,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser2,state
58,58,0.8589393110989612,2023-05-28 19:32:22.321041,2023-05-28 22:04:11.718679,0 days 02:31:49.397638,128,0.5539211186630045,0.6016799913211215,rmsprop,COMPLETE
59,59,0.8638600328048114,2023-05-28 19:36:13.352890,2023-05-28 21:58:14.094831,0 days 02:22:00.741941,128,0.5441681342356874,0.6779685397778233,rmsprop,COMPLETE
60,60,0.868234007654456,2023-05-28 19:39:22.966980,2023-05-28 21:58:02.290663,0 days 02:18:39.323683,128,0.5314280922058365,0.6800323346862547,rmsprop,COMPLETE
61,61,0.8753417167851285,2023-05-28 19:54:40.818933,2023-05-28 22:14:56.425396,0 days 02:20:15.606463,128,0.5352190200513958,0.6231270802078455,rmsprop,COMPLETE
62,62,0.8884636413340623,2023-05-28 20:20:03.191417,2023-05-28 22:48:20.434204,0 days 02:28:17.242787,128,0.6435651232831331,0.6777321563473873,adagrad,COMPLETE
63,63,0.882449425915801,2023-05-28 21:03:37.700766,2023-05-28 23:31:38.350565,0 days 02:28:00.649799,128,0.6508261107613085,0.6851427435646191,adagrad,COMPLETE
64,64,0.8802624384909786,2023-05-28 21:09:04.393315,2023-05-28 23:34:30.523502,0 days 02:25:26.130187,128,0.6265128969499991,0.6217399969525756,adagrad,COMPLETE
65,65,0.8884636413340623,2023-05-28 21:24:04.760366,2023-05-28 23:54:15.091138,0 days 02:30:10.330772,128,0.6401828539279386,0.6208230431842595,adagrad,COMPLETE
66,66,0.8567523236741389,2023-05-28 21:27:20.354398,2023-05-29 00:03:05.200952,0 days 02:35:44.846554,64,0.6419711532416361,0.6775497387086084,adam,COMPLETE
67,67,0.850191361399672,2023-05-28 21:58:02.321591,2023-05-29 00:24:51.012156,0 days 02:26:48.690565,64,0.63587918365242,0.6232523544748246,adam,COMPLETE
68,68,0.8556588299617277,2023-05-28 21:58:14.099547,2023-05-29 00:36:59.798383,0 days 02:38:45.698836,64,0.6332530545583093,0.6247390100701818,adam,COMPLETE
69,69,0.8523783488244943,2023-05-28 21:59:24.869168,2023-05-29 00:33:34.959738,0 days 02:34:10.090570,64,0.6395357781208526,0.6233510059833377,adam,COMPLETE
70,70,0.8458173865500274,2023-05-28 22:04:11.805721,2023-05-29 00:34:38.585726,0 days 02:30:26.780005,16,0.7215390661452343,0.622256688487046,adam,COMPLETE
71,71,0.8600328048113723,2023-05-28 22:14:56.479044,2023-05-29 00:40:02.897079,0 days 02:25:06.418035,64,0.7240607133664102,0.6670417427770677,adam,COMPLETE
72,72,0.8430836522689995,2023-05-28 22:48:20.440729,2023-05-29 01:13:49.526855,0 days 02:25:29.086126,64,0.7130650486969091,0.6277558979019117,adam,COMPLETE
73,73,0.8261344997266266,2023-05-28 23:31:38.383178,2023-05-29 01:38:48.520194,0 days 02:07:10.137016,64,0.7262925601408143,0.6192379293710274,adam,COMPLETE
74,74,0.9010388190267906,2023-05-28 23:34:30.530275,2023-05-29 01:46:16.086054,0 days 02:11:45.555779,64,0.7284433717367859,0.6664154993394465,adadelta,COMPLETE
75,75,0.8873701476216512,2023-05-28 23:54:15.131579,2023-05-29 02:02:37.249631,0 days 02:08:22.118052,64,0.7131294508201246,0.6649785106644612,adadelta,COMPLETE
76,76,0.9032258064516129,2023-05-29 00:03:05.279345,2023-05-29 02:04:40.630065,0 days 02:01:35.350720,64,0.7119830946204346,0.6302324828820974,adadelta,COMPLETE
77,77,0.9048660470202297,2023-05-29 00:24:51.069700,2023-05-29 01:48:06.949135,0 days 01:23:15.879435,16,0.7190863966104232,0.6346467891529992,adadelta,COMPLETE
