,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser,state
50,50,0.368897983045893,2023-05-28 01:09:06.499431,2023-05-28 01:24:36.774080,0 days 00:15:30.274649,16,0.15006515312685914,0.7487678333012767,adadelta,COMPLETE
51,51,0.3665594855305466,2023-05-28 01:14:05.635070,2023-05-28 01:30:37.222751,0 days 00:16:31.587681,16,0.41295781082102245,0.7486869879300462,adadelta,COMPLETE
52,52,0.3680210464776381,2023-05-28 01:14:06.732190,2023-05-28 01:30:40.023295,0 days 00:16:33.291105,16,0.5604114814615497,0.7472106770393608,adadelta,COMPLETE
53,53,0.2823735749780766,2023-05-28 01:17:40.307476,2023-05-28 01:34:48.108256,0 days 00:17:07.800780,16,0.4182628543816985,0.754102280689775,adadelta,COMPLETE
54,54,0.3048816135632856,2023-05-28 01:17:44.927909,2023-05-28 01:28:32.037537,0 days 00:10:47.109628,128,0.4154144610166437,0.8127897741478533,adadelta,COMPLETE
55,55,0.31715872551885416,2023-05-28 01:20:20.784418,2023-05-28 01:31:17.034289,0 days 00:10:56.249871,128,0.27965875124234774,0.814709466614861,adadelta,COMPLETE
56,56,0.34375913475591935,2023-05-28 01:21:44.781990,2023-05-28 01:32:44.089025,0 days 00:10:59.307035,128,0.4109230635031402,0.7651455746125182,adadelta,COMPLETE
57,57,0.3525285004384683,2023-05-28 01:21:47.947533,2023-05-28 01:32:45.690431,0 days 00:10:57.742898,128,0.3992783531908679,0.8117814845887757,adadelta,COMPLETE
58,58,0.37854428529669687,2023-05-28 01:23:31.077098,2023-05-28 01:34:24.195528,0 days 00:10:53.118430,128,0.2773846328668931,0.8148791445028348,adadelta,COMPLETE
59,59,0.349313066354867,2023-05-28 01:23:32.161821,2023-05-28 01:34:26.267740,0 days 00:10:54.105919,128,0.2864117393257774,0.8124092836262391,adadelta,COMPLETE
60,60,0.33762057877813506,2023-05-28 01:24:36.775722,2023-05-28 01:35:22.613930,0 days 00:10:45.838208,128,0.43391535560662486,0.8152380556653475,adadelta,COMPLETE
61,61,0.4115755627009646,2023-05-28 01:28:32.040579,2023-05-28 01:41:40.091250,0 days 00:13:08.050671,32,0.2722911760754904,0.7718320696389048,adadelta,COMPLETE
62,62,0.36100555393159894,2023-05-28 01:30:37.225212,2023-05-28 01:43:33.711450,0 days 00:12:56.486238,32,0.7195763019829582,0.8119294217862649,adamax,COMPLETE
63,63,0.36217480268927216,2023-05-28 01:30:40.024474,2023-05-28 01:43:36.034039,0 days 00:12:56.009565,32,0.08764370610549203,0.7708635578958399,adamax,COMPLETE
64,64,0.3332358959368606,2023-05-28 01:31:17.036019,2023-05-28 01:44:09.943452,0 days 00:12:52.907433,32,0.2800108759167773,0.7746949363021616,adamax,COMPLETE
65,65,0.3539900613855598,2023-05-28 01:32:44.091311,2023-05-28 01:45:31.679771,0 days 00:12:47.588460,32,0.2753384928173319,0.7712666168529294,adamax,COMPLETE
66,66,0.3458053200818474,2023-05-28 01:32:45.692618,2023-05-28 01:45:33.061612,0 days 00:12:47.368994,32,0.7125053049345191,0.777864548986159,adamax,COMPLETE
67,67,0.3224203449283835,2023-05-28 01:34:24.197777,2023-05-28 01:47:08.522863,0 days 00:12:44.325086,32,0.09531817388685504,0.7763588065542865,adamax,COMPLETE
68,68,0.3686056708564747,2023-05-28 01:34:26.272329,2023-05-28 01:47:12.022512,0 days 00:12:45.750183,32,0.09056253330589104,0.7752974379030139,adagrad,COMPLETE
69,69,0.3443437591347559,2023-05-28 01:34:48.109929,2023-05-28 01:47:33.428964,0 days 00:12:45.319035,32,0.026153426252904483,0.7736532645591009,adagrad,COMPLETE
70,70,0.374744226834259,2023-05-28 01:35:22.615916,2023-05-28 01:48:11.253194,0 days 00:12:48.637278,32,0.19317799993756185,0.7692238224577694,adamax,COMPLETE
71,71,0.38497515346389943,2023-05-28 01:41:40.093787,2023-05-28 01:55:04.038038,0 days 00:13:23.944251,32,0.03020241398202972,0.7742986854333226,adamax,COMPLETE
72,72,0.41216018707980123,2023-05-28 01:43:33.713164,2023-05-28 01:57:04.735993,0 days 00:13:31.022829,32,0.19521845995108555,0.7730589145695802,adagrad,COMPLETE
73,73,0.33703595439929845,2023-05-28 01:43:36.037008,2023-05-28 01:57:06.871659,0 days 00:13:30.834651,32,0.1836227751232951,0.7715450053960758,rmsprop,COMPLETE
74,74,0.28646594562993277,2023-05-28 01:44:09.945066,2023-05-28 01:57:46.256649,0 days 00:13:36.311583,32,0.19174938435083505,0.7799728228101678,rmsprop,COMPLETE
75,75,0.374744226834259,2023-05-28 01:45:31.681364,2023-05-28 01:59:16.060688,0 days 00:13:44.379324,32,0.1947971594513353,0.7805236336022232,adagrad,COMPLETE
76,76,0.3510669394913768,2023-05-28 01:45:33.062992,2023-05-28 01:57:19.383918,0 days 00:11:46.320926,64,0.19999647968330383,0.736268946145824,rmsprop,COMPLETE
77,77,0.36159017831043555,2023-05-28 01:47:08.524090,2023-05-28 01:59:00.704647,0 days 00:11:52.180557,64,0.1856463285127683,0.728615989500163,adagrad,COMPLETE
78,78,0.3709441683718211,2023-05-28 01:47:12.024156,2023-05-28 01:59:02.899060,0 days 00:11:50.874904,64,0.20321636771710766,0.7362882331194728,rmsprop,COMPLETE
79,79,0.31482022800350773,2023-05-28 01:47:33.430169,2023-05-28 01:59:26.653505,0 days 00:11:53.223336,64,0.19791525395269988,0.7299932509192362,rmsprop,COMPLETE
80,80,0.35223618824905,2023-05-28 01:48:11.254310,2023-05-28 02:00:07.356400,0 days 00:11:56.102090,64,0.1820362735101672,0.7282597938731553,rmsprop,COMPLETE
81,81,0.2972814966384098,2023-05-28 01:55:04.039792,2023-05-28 02:07:25.506002,0 days 00:12:21.466210,64,0.19022965481794554,0.7345859813477986,rmsprop,COMPLETE
82,82,0.3241742180648933,2023-05-28 01:57:04.737408,2023-05-28 02:09:29.276355,0 days 00:12:24.538947,64,0.18059602230647226,0.7921993835206955,rmsprop,COMPLETE
83,83,0.39169833382052033,2023-05-28 01:57:06.877220,2023-05-28 02:09:31.010442,0 days 00:12:24.133222,64,0.2345242219510365,0.7941928611695188,adagrad,COMPLETE
84,84,0.39228295819935693,2023-05-28 01:57:19.385832,2023-05-28 02:09:46.102862,0 days 00:12:26.717030,64,0.23684498130485498,0.7931897347058523,adagrad,COMPLETE
85,85,0.3911137094416837,2023-05-28 01:57:46.259222,2023-05-28 02:10:11.184563,0 days 00:12:24.925341,64,0.22888787442847208,0.802897752428318,adagrad,COMPLETE
86,86,0.35691318327974275,2023-05-28 01:59:00.708819,2023-05-28 02:11:21.534149,0 days 00:12:20.825330,64,0.23815437592353864,0.7947006760455075,sgd,COMPLETE
87,87,0.2782812043262204,2023-05-28 01:59:02.901780,2023-05-28 02:11:22.417137,0 days 00:12:19.515357,64,0.25151917479097763,0.7987123696548479,sgd,COMPLETE
88,88,0.3460976322712657,2023-05-28 01:59:16.062901,2023-05-28 02:11:36.384831,0 days 00:12:20.321930,64,0.2457943518875088,0.7972637599365721,sgd,COMPLETE
89,89,0.3700672318035662,2023-05-28 01:59:26.654979,2023-05-28 02:11:44.301727,0 days 00:12:17.646748,64,0.24117360981613833,0.8007796261785702,sgd,COMPLETE
90,90,0.388482899736919,2023-05-28 02:00:07.358038,2023-05-28 02:12:23.734148,0 days 00:12:16.376110,64,0.24464642579161142,0.8010590891716585,sgd,COMPLETE
91,91,0.3683133586670564,2023-05-28 02:07:25.509537,2023-05-28 02:20:15.749942,0 days 00:12:50.240405,32,0.23815110188578956,0.8023044499482533,sgd,COMPLETE
92,92,0.3285589009061678,2023-05-28 02:09:29.278863,2023-05-28 02:21:49.362032,0 days 00:12:20.083169,32,0.24243175609506795,0.803184714614135,sgd,COMPLETE
93,93,0.34258988599824614,2023-05-28 02:09:31.011569,2023-05-28 02:21:48.166436,0 days 00:12:17.154867,32,0.24470735916856803,0.804009969819318,sgd,COMPLETE
94,94,0.374744226834259,2023-05-28 02:09:46.105144,2023-05-28 02:21:58.957548,0 days 00:12:12.852404,32,0.11514272762764391,0.8032082730035359,sgd,COMPLETE
95,95,0.3703595439929845,2023-05-28 02:10:11.187536,2023-05-28 02:22:13.266328,0 days 00:12:02.078792,32,0.30578768586236926,0.8036438211285367,sgd,COMPLETE
96,96,0.40602163110201694,2023-05-28 02:11:21.535576,2023-05-28 02:22:54.951197,0 days 00:11:33.415621,32,0.3709506573306298,0.7643585546194286,adadelta,COMPLETE
97,97,0.39228295819935693,2023-05-28 02:11:22.418779,2023-05-28 02:22:54.900555,0 days 00:11:32.481776,32,0.11447774543626188,0.7615135565793226,adadelta,COMPLETE
98,98,0.3665594855305466,2023-05-28 02:11:36.386976,2023-05-28 02:23:04.164554,0 days 00:11:27.777578,32,0.12065032635483636,0.7629023512088452,adadelta,COMPLETE
99,99,0.355159310143233,2023-05-28 02:11:44.303394,2023-05-28 02:23:07.420806,0 days 00:11:23.117412,32,0.37656749173719406,0.7867240077305684,adadelta,COMPLETE
